"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 07:38:37 GMT 2023","Tue Apr 04 07:38:39 GMT 2023","2162","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
"passed","Tue Apr 04 07:38:47 GMT 2023","Tue Apr 04 07:38:48 GMT 2023","300","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"passed","Tue Apr 04 07:38:44 GMT 2023","Tue Apr 04 07:38:46 GMT 2023","2323","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"broken","Tue Apr 04 07:39:58 GMT 2023","Tue Apr 04 07:40:03 GMT 2023","5258","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"broken","Tue Apr 04 07:39:45 GMT 2023","Tue Apr 04 07:39:50 GMT 2023","5256","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"broken","Tue Apr 04 07:40:16 GMT 2023","Tue Apr 04 07:40:26 GMT 2023","10469","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"passed","Tue Apr 04 07:38:40 GMT 2023","Tue Apr 04 07:38:43 GMT 2023","2530","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"passed","Tue Apr 04 07:38:50 GMT 2023","Tue Apr 04 07:38:51 GMT 2023","275","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"broken","Tue Apr 04 07:39:27 GMT 2023","Tue Apr 04 07:39:37 GMT 2023","10468","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"broken","Tue Apr 04 07:39:51 GMT 2023","Tue Apr 04 07:39:57 GMT 2023","5264","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"broken","Tue Apr 04 07:39:38 GMT 2023","Tue Apr 04 07:39:44 GMT 2023","5281","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"broken","Tue Apr 04 07:38:52 GMT 2023","Tue Apr 04 07:39:02 GMT 2023","10419","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"passed","Tue Apr 04 07:38:49 GMT 2023","Tue Apr 04 07:38:49 GMT 2023","343","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"broken","Tue Apr 04 07:39:15 GMT 2023","Tue Apr 04 07:39:26 GMT 2023","10466","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"broken","Tue Apr 04 07:40:04 GMT 2023","Tue Apr 04 07:40:15 GMT 2023","10418","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"passed","Tue Apr 04 07:40:28 GMT 2023","Tue Apr 04 07:40:30 GMT 2023","2454","test_conduit_vizsgaremek","test_registration","TestConduit","","","test_registration",""
"broken","Tue Apr 04 07:39:03 GMT 2023","Tue Apr 04 07:39:14 GMT 2023","10466","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
