"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 13:23:10 GMT 2023","Tue Apr 04 13:23:17 GMT 2023","6503","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Tue Apr 04 13:23:48 GMT 2023","Tue Apr 04 13:24:04 GMT 2023","15500","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"passed","Tue Apr 04 13:23:40 GMT 2023","Tue Apr 04 13:23:47 GMT 2023","7206","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"passed","Tue Apr 04 13:24:05 GMT 2023","Tue Apr 04 13:24:26 GMT 2023","21453","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Tue Apr 04 13:22:40 GMT 2023","Tue Apr 04 13:22:42 GMT 2023","2344","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_cookies",""
"passed","Tue Apr 04 13:24:28 GMT 2023","Tue Apr 04 13:24:33 GMT 2023","5484","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"failed","Tue Apr 04 13:23:18 GMT 2023","Tue Apr 04 13:23:26 GMT 2023","7851","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_modify",""
"passed","Tue Apr 04 13:22:43 GMT 2023","Tue Apr 04 13:22:46 GMT 2023","2633","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration",""
"passed","Tue Apr 04 13:22:55 GMT 2023","Tue Apr 04 13:22:55 GMT 2023","311","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"passed","Tue Apr 04 13:22:49 GMT 2023","Tue Apr 04 13:22:50 GMT 2023","868","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"passed","Tue Apr 04 13:22:47 GMT 2023","Tue Apr 04 13:22:48 GMT 2023","925","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"passed","Tue Apr 04 13:22:57 GMT 2023","Tue Apr 04 13:23:02 GMT 2023","5425","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"passed","Tue Apr 04 13:23:03 GMT 2023","Tue Apr 04 13:23:09 GMT 2023","5366","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"passed","Tue Apr 04 13:22:53 GMT 2023","Tue Apr 04 13:22:54 GMT 2023","873","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"passed","Tue Apr 04 13:24:34 GMT 2023","Tue Apr 04 13:24:40 GMT 2023","5312","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"passed","Tue Apr 04 13:23:27 GMT 2023","Tue Apr 04 13:23:38 GMT 2023","11553","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"passed","Tue Apr 04 13:22:51 GMT 2023","Tue Apr 04 13:22:52 GMT 2023","322","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
