"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 14:10:10 GMT 2023","Thu Mar 30 14:10:16 GMT 2023","5330","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"broken","Thu Mar 30 14:10:57 GMT 2023","Thu Mar 30 14:10:59 GMT 2023","2244","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"broken","Thu Mar 30 14:10:37 GMT 2023","Thu Mar 30 14:10:42 GMT 2023","5249","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"broken","Thu Mar 30 14:10:50 GMT 2023","Thu Mar 30 14:10:52 GMT 2023","2227","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Thu Mar 30 14:11:00 GMT 2023","Thu Mar 30 14:11:05 GMT 2023","4391","test_conduit_vizsgaremek","test_registration","TestConduit","","","test_registration",""
"passed","Thu Mar 30 14:09:52 GMT 2023","Thu Mar 30 14:09:54 GMT 2023","2355","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"passed","Thu Mar 30 14:10:02 GMT 2023","Thu Mar 30 14:10:03 GMT 2023","262","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"broken","Thu Mar 30 14:10:04 GMT 2023","Thu Mar 30 14:10:09 GMT 2023","5305","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"broken","Thu Mar 30 14:10:30 GMT 2023","Thu Mar 30 14:10:35 GMT 2023","5248","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"broken","Thu Mar 30 14:10:17 GMT 2023","Thu Mar 30 14:10:22 GMT 2023","5330","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Thu Mar 30 14:09:56 GMT 2023","Thu Mar 30 14:09:58 GMT 2023","2310","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"passed","Thu Mar 30 14:09:49 GMT 2023","Thu Mar 30 14:09:51 GMT 2023","2056","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
"passed","Thu Mar 30 14:09:59 GMT 2023","Thu Mar 30 14:10:00 GMT 2023","290","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"broken","Thu Mar 30 14:10:24 GMT 2023","Thu Mar 30 14:10:29 GMT 2023","5332","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"broken","Thu Mar 30 14:10:43 GMT 2023","Thu Mar 30 14:10:48 GMT 2023","5243","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"broken","Thu Mar 30 14:10:53 GMT 2023","Thu Mar 30 14:10:55 GMT 2023","2236","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"passed","Thu Mar 30 14:10:01 GMT 2023","Thu Mar 30 14:10:01 GMT 2023","321","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
