"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 07:09:41 GMT 2023","Tue Apr 04 07:09:43 GMT 2023","2540","test_conduit_vizsgaremek","test_registration","TestConduit","","","test_registration",""
"passed","Tue Apr 04 07:07:47 GMT 2023","Tue Apr 04 07:07:49 GMT 2023","2088","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
"passed","Tue Apr 04 07:08:01 GMT 2023","Tue Apr 04 07:08:02 GMT 2023","327","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"broken","Tue Apr 04 07:09:10 GMT 2023","Tue Apr 04 07:09:16 GMT 2023","5293","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Tue Apr 04 07:07:50 GMT 2023","Tue Apr 04 07:07:53 GMT 2023","2436","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"broken","Tue Apr 04 07:09:29 GMT 2023","Tue Apr 04 07:09:39 GMT 2023","10543","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"broken","Tue Apr 04 07:09:17 GMT 2023","Tue Apr 04 07:09:27 GMT 2023","10493","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"broken","Tue Apr 04 07:08:15 GMT 2023","Tue Apr 04 07:08:25 GMT 2023","10552","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"passed","Tue Apr 04 07:07:54 GMT 2023","Tue Apr 04 07:07:56 GMT 2023","2383","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"broken","Tue Apr 04 07:08:27 GMT 2023","Tue Apr 04 07:08:37 GMT 2023","10550","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Tue Apr 04 07:07:58 GMT 2023","Tue Apr 04 07:07:58 GMT 2023","356","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"passed","Tue Apr 04 07:07:59 GMT 2023","Tue Apr 04 07:08:00 GMT 2023","385","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"broken","Tue Apr 04 07:09:04 GMT 2023","Tue Apr 04 07:09:09 GMT 2023","5306","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"broken","Tue Apr 04 07:08:57 GMT 2023","Tue Apr 04 07:09:02 GMT 2023","5314","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"broken","Tue Apr 04 07:08:50 GMT 2023","Tue Apr 04 07:08:56 GMT 2023","5297","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"broken","Tue Apr 04 07:08:03 GMT 2023","Tue Apr 04 07:08:13 GMT 2023","10533","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"broken","Tue Apr 04 07:08:39 GMT 2023","Tue Apr 04 07:08:49 GMT 2023","10545","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
