"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 10:17:55 GMT 2023","Tue Apr 04 10:17:56 GMT 2023","859","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"passed","Tue Apr 04 10:17:57 GMT 2023","Tue Apr 04 10:17:58 GMT 2023","831","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"passed","Tue Apr 04 10:18:18 GMT 2023","Tue Apr 04 10:18:29 GMT 2023","11014","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"passed","Tue Apr 04 10:17:48 GMT 2023","Tue Apr 04 10:17:50 GMT 2023","2226","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_cookies",""
"passed","Tue Apr 04 10:18:06 GMT 2023","Tue Apr 04 10:18:07 GMT 2023","870","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"passed","Tue Apr 04 10:18:31 GMT 2023","Tue Apr 04 10:18:32 GMT 2023","952","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"passed","Tue Apr 04 10:18:04 GMT 2023","Tue Apr 04 10:18:05 GMT 2023","912","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"broken","Tue Apr 04 10:18:15 GMT 2023","Tue Apr 04 10:18:15 GMT 2023","243","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"passed","Tue Apr 04 10:18:11 GMT 2023","Tue Apr 04 10:18:13 GMT 2023","2416","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"failed","Tue Apr 04 10:18:08 GMT 2023","Tue Apr 04 10:18:10 GMT 2023","1659","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Tue Apr 04 10:18:01 GMT 2023","Tue Apr 04 10:18:01 GMT 2023","820","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"passed","Tue Apr 04 10:18:34 GMT 2023","Tue Apr 04 10:18:34 GMT 2023","839","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"broken","Tue Apr 04 10:18:16 GMT 2023","Tue Apr 04 10:18:17 GMT 2023","246","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"passed","Tue Apr 04 10:18:03 GMT 2023","Tue Apr 04 10:18:03 GMT 2023","258","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"passed","Tue Apr 04 10:17:51 GMT 2023","Tue Apr 04 10:17:54 GMT 2023","2441","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration",""
"passed","Tue Apr 04 10:17:59 GMT 2023","Tue Apr 04 10:17:59 GMT 2023","287","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"broken","Tue Apr 04 10:18:30 GMT 2023","Tue Apr 04 10:18:30 GMT 2023","261","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
