"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 09:13:00 GMT 2023","Tue Apr 11 09:13:21 GMT 2023","21431","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Tue Apr 11 09:12:43 GMT 2023","Tue Apr 11 09:12:59 GMT 2023","15494","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"passed","Tue Apr 11 09:12:00 GMT 2023","Tue Apr 11 09:12:00 GMT 2023","290","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"passed","Tue Apr 11 09:11:57 GMT 2023","Tue Apr 11 09:11:58 GMT 2023","850","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"passed","Tue Apr 11 09:11:56 GMT 2023","Tue Apr 11 09:11:56 GMT 2023","302","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"passed","Tue Apr 11 09:12:22 GMT 2023","Tue Apr 11 09:12:33 GMT 2023","11579","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"passed","Tue Apr 11 09:13:37 GMT 2023","Tue Apr 11 09:13:43 GMT 2023","5318","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"passed","Tue Apr 11 09:12:08 GMT 2023","Tue Apr 11 09:12:13 GMT 2023","5334","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"passed","Tue Apr 11 09:13:29 GMT 2023","Tue Apr 11 09:13:36 GMT 2023","6633","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_name_modifie",""
"passed","Tue Apr 11 09:11:48 GMT 2023","Tue Apr 11 09:11:50 GMT 2023","2485","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration",""
"passed","Tue Apr 11 09:11:54 GMT 2023","Tue Apr 11 09:11:55 GMT 2023","876","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"passed","Tue Apr 11 09:11:44 GMT 2023","Tue Apr 11 09:11:47 GMT 2023","2273","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_cookies",""
"passed","Tue Apr 11 09:13:23 GMT 2023","Tue Apr 11 09:13:28 GMT 2023","5459","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"passed","Tue Apr 11 09:11:52 GMT 2023","Tue Apr 11 09:11:52 GMT 2023","879","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"passed","Tue Apr 11 09:12:01 GMT 2023","Tue Apr 11 09:12:07 GMT 2023","5428","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"passed","Tue Apr 11 09:12:14 GMT 2023","Tue Apr 11 09:12:21 GMT 2023","6058","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Tue Apr 11 09:12:35 GMT 2023","Tue Apr 11 09:12:42 GMT 2023","7128","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
