"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 12:49:50 GMT 2023","Thu Mar 30 12:49:53 GMT 2023","2320","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"passed","Thu Mar 30 12:49:10 GMT 2023","Thu Mar 30 12:49:12 GMT 2023","2641","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"passed","Thu Mar 30 12:49:28 GMT 2023","Thu Mar 30 12:49:31 GMT 2023","2302","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"broken","Thu Mar 30 12:49:47 GMT 2023","Thu Mar 30 12:49:49 GMT 2023","2334","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"broken","Thu Mar 30 12:49:25 GMT 2023","Thu Mar 30 12:49:27 GMT 2023","2282","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"broken","Thu Mar 30 12:50:01 GMT 2023","Thu Mar 30 12:50:04 GMT 2023","2290","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"passed","Thu Mar 30 12:49:17 GMT 2023","Thu Mar 30 12:49:20 GMT 2023","2338","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"broken","Thu Mar 30 12:49:35 GMT 2023","Thu Mar 30 12:49:38 GMT 2023","2306","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"broken","Thu Mar 30 12:49:58 GMT 2023","Thu Mar 30 12:50:00 GMT 2023","2327","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"broken","Thu Mar 30 12:50:05 GMT 2023","Thu Mar 30 12:50:07 GMT 2023","2355","test_conduit_vizsgaremek","test_registration","TestConduit","","","test_registration",""
"passed","Thu Mar 30 12:49:14 GMT 2023","Thu Mar 30 12:49:16 GMT 2023","2378","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"broken","Thu Mar 30 12:49:39 GMT 2023","Thu Mar 30 12:49:42 GMT 2023","2357","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"broken","Thu Mar 30 12:49:32 GMT 2023","Thu Mar 30 12:49:34 GMT 2023","2294","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"passed","Thu Mar 30 12:49:21 GMT 2023","Thu Mar 30 12:49:23 GMT 2023","2363","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"broken","Thu Mar 30 12:49:43 GMT 2023","Thu Mar 30 12:49:45 GMT 2023","2307","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"broken","Thu Mar 30 12:49:54 GMT 2023","Thu Mar 30 12:49:56 GMT 2023","2282","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Thu Mar 30 12:49:06 GMT 2023","Thu Mar 30 12:49:08 GMT 2023","2189","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
