"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 08:42:12 GMT 2023","Tue Apr 04 08:42:13 GMT 2023","939","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"passed","Tue Apr 04 08:42:32 GMT 2023","Tue Apr 04 08:42:48 GMT 2023","16127","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"passed","Tue Apr 04 08:42:58 GMT 2023","Tue Apr 04 08:43:05 GMT 2023","7150","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"broken","Tue Apr 04 08:43:07 GMT 2023","Tue Apr 04 08:43:12 GMT 2023","5301","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Tue Apr 04 08:42:10 GMT 2023","Tue Apr 04 08:42:11 GMT 2023","960","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"passed","Tue Apr 04 08:42:16 GMT 2023","Tue Apr 04 08:42:17 GMT 2023","940","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"passed","Tue Apr 04 08:42:06 GMT 2023","Tue Apr 04 08:42:08 GMT 2023","2621","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration",""
"passed","Tue Apr 04 08:42:20 GMT 2023","Tue Apr 04 08:42:21 GMT 2023","1531","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"failed","Tue Apr 04 08:42:25 GMT 2023","Tue Apr 04 08:42:27 GMT 2023","1801","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Tue Apr 04 08:42:23 GMT 2023","Tue Apr 04 08:42:24 GMT 2023","1156","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"passed","Tue Apr 04 08:42:18 GMT 2023","Tue Apr 04 08:42:19 GMT 2023","313","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"passed","Tue Apr 04 08:42:28 GMT 2023","Tue Apr 04 08:42:31 GMT 2023","2260","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"broken","Tue Apr 04 08:41:54 GMT 2023","Tue Apr 04 08:42:04 GMT 2023","10264","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
"passed","Tue Apr 04 08:42:14 GMT 2023","Tue Apr 04 08:42:15 GMT 2023","388","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"passed","Tue Apr 04 08:42:49 GMT 2023","Tue Apr 04 08:42:57 GMT 2023","7266","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"passed","Tue Apr 04 08:43:16 GMT 2023","Tue Apr 04 08:43:17 GMT 2023","1026","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"passed","Tue Apr 04 08:43:13 GMT 2023","Tue Apr 04 08:43:14 GMT 2023","1155","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
