"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 13:54:40 GMT 2023","Thu Mar 30 13:54:43 GMT 2023","2303","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"broken","Thu Mar 30 13:54:37 GMT 2023","Thu Mar 30 13:54:39 GMT 2023","2294","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"passed","Thu Mar 30 13:54:00 GMT 2023","Thu Mar 30 13:54:03 GMT 2023","2331","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"broken","Thu Mar 30 13:54:23 GMT 2023","Thu Mar 30 13:54:29 GMT 2023","5421","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Thu Mar 30 13:54:08 GMT 2023","Thu Mar 30 13:54:08 GMT 2023","345","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"broken","Thu Mar 30 13:54:55 GMT 2023","Thu Mar 30 13:54:57 GMT 2023","2307","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"passed","Thu Mar 30 13:54:59 GMT 2023","Thu Mar 30 13:55:03 GMT 2023","4562","test_conduit_vizsgaremek","test_registration","TestConduit","","","test_registration",""
"passed","Thu Mar 30 13:53:49 GMT 2023","Thu Mar 30 13:53:51 GMT 2023","2098","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
"broken","Thu Mar 30 13:54:16 GMT 2023","Thu Mar 30 13:54:22 GMT 2023","5447","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"broken","Thu Mar 30 13:54:48 GMT 2023","Thu Mar 30 13:54:50 GMT 2023","2272","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Thu Mar 30 13:53:53 GMT 2023","Thu Mar 30 13:53:55 GMT 2023","2439","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"broken","Thu Mar 30 13:54:44 GMT 2023","Thu Mar 30 13:54:46 GMT 2023","2301","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"passed","Thu Mar 30 13:54:04 GMT 2023","Thu Mar 30 13:54:06 GMT 2023","2402","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"broken","Thu Mar 30 13:54:51 GMT 2023","Thu Mar 30 13:54:54 GMT 2023","2303","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"passed","Thu Mar 30 13:53:57 GMT 2023","Thu Mar 30 13:53:59 GMT 2023","2398","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"broken","Thu Mar 30 13:54:09 GMT 2023","Thu Mar 30 13:54:15 GMT 2023","5428","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"broken","Thu Mar 30 13:54:30 GMT 2023","Thu Mar 30 13:54:35 GMT 2023","5426","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
