"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 14:14:13 GMT 2023","Thu Mar 30 14:14:18 GMT 2023","5302","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"passed","Thu Mar 30 14:14:11 GMT 2023","Thu Mar 30 14:14:11 GMT 2023","286","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"broken","Thu Mar 30 14:14:19 GMT 2023","Thu Mar 30 14:14:25 GMT 2023","5315","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"passed","Thu Mar 30 14:14:00 GMT 2023","Thu Mar 30 14:14:03 GMT 2023","2380","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"passed","Thu Mar 30 14:14:04 GMT 2023","Thu Mar 30 14:14:06 GMT 2023","2306","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"broken","Thu Mar 30 14:14:39 GMT 2023","Thu Mar 30 14:14:45 GMT 2023","5242","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"broken","Thu Mar 30 14:15:06 GMT 2023","Thu Mar 30 14:15:11 GMT 2023","5312","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"broken","Thu Mar 30 14:14:33 GMT 2023","Thu Mar 30 14:14:38 GMT 2023","5319","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"broken","Thu Mar 30 14:15:13 GMT 2023","Thu Mar 30 14:15:18 GMT 2023","5326","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"passed","Thu Mar 30 14:14:09 GMT 2023","Thu Mar 30 14:14:10 GMT 2023","318","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"passed","Thu Mar 30 14:15:19 GMT 2023","Thu Mar 30 14:15:24 GMT 2023","4377","test_conduit_vizsgaremek","test_registration","TestConduit","","","test_registration",""
"broken","Thu Mar 30 14:14:46 GMT 2023","Thu Mar 30 14:14:51 GMT 2023","5237","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"broken","Thu Mar 30 14:14:59 GMT 2023","Thu Mar 30 14:15:05 GMT 2023","5237","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Thu Mar 30 14:13:57 GMT 2023","Thu Mar 30 14:13:59 GMT 2023","2080","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
"broken","Thu Mar 30 14:14:53 GMT 2023","Thu Mar 30 14:14:58 GMT 2023","5235","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"passed","Thu Mar 30 14:14:08 GMT 2023","Thu Mar 30 14:14:08 GMT 2023","283","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"broken","Thu Mar 30 14:14:26 GMT 2023","Thu Mar 30 14:14:31 GMT 2023","5318","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
