"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 15:00:09 GMT 2023","Thu Mar 30 15:00:14 GMT 2023","5313","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"broken","Thu Mar 30 14:59:36 GMT 2023","Thu Mar 30 14:59:41 GMT 2023","5333","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"passed","Thu Mar 30 14:59:08 GMT 2023","Thu Mar 30 14:59:10 GMT 2023","2308","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"broken","Thu Mar 30 15:00:15 GMT 2023","Thu Mar 30 15:00:20 GMT 2023","5321","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"passed","Thu Mar 30 14:59:11 GMT 2023","Thu Mar 30 14:59:12 GMT 2023","287","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"broken","Thu Mar 30 15:00:02 GMT 2023","Thu Mar 30 15:00:07 GMT 2023","5228","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"broken","Thu Mar 30 14:59:49 GMT 2023","Thu Mar 30 14:59:54 GMT 2023","5245","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"broken","Thu Mar 30 14:59:42 GMT 2023","Thu Mar 30 14:59:48 GMT 2023","5243","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"broken","Thu Mar 30 14:59:16 GMT 2023","Thu Mar 30 14:59:21 GMT 2023","5306","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"broken","Thu Mar 30 14:59:23 GMT 2023","Thu Mar 30 14:59:28 GMT 2023","5336","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"broken","Thu Mar 30 14:59:56 GMT 2023","Thu Mar 30 15:00:01 GMT 2023","5246","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"passed","Thu Mar 30 14:59:13 GMT 2023","Thu Mar 30 14:59:13 GMT 2023","324","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"passed","Thu Mar 30 14:59:01 GMT 2023","Thu Mar 30 14:59:03 GMT 2023","2057","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
"broken","Thu Mar 30 14:59:29 GMT 2023","Thu Mar 30 14:59:35 GMT 2023","5338","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Thu Mar 30 14:59:04 GMT 2023","Thu Mar 30 14:59:06 GMT 2023","2350","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"passed","Thu Mar 30 14:59:14 GMT 2023","Thu Mar 30 14:59:15 GMT 2023","273","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
