"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 14:41:02 GMT 2023","Thu Mar 30 14:41:07 GMT 2023","5234","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"broken","Thu Mar 30 14:40:23 GMT 2023","Thu Mar 30 14:40:28 GMT 2023","5325","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"passed","Thu Mar 30 14:40:08 GMT 2023","Thu Mar 30 14:40:10 GMT 2023","2309","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"broken","Thu Mar 30 14:40:36 GMT 2023","Thu Mar 30 14:40:41 GMT 2023","5327","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"broken","Thu Mar 30 14:40:56 GMT 2023","Thu Mar 30 14:41:01 GMT 2023","5255","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"passed","Thu Mar 30 14:40:11 GMT 2023","Thu Mar 30 14:40:12 GMT 2023","287","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"passed","Thu Mar 30 14:41:22 GMT 2023","Thu Mar 30 14:41:24 GMT 2023","2439","test_conduit_vizsgaremek","test_registration","TestConduit","","","test_registration",""
"broken","Thu Mar 30 14:40:49 GMT 2023","Thu Mar 30 14:40:54 GMT 2023","5242","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"broken","Thu Mar 30 14:41:15 GMT 2023","Thu Mar 30 14:41:21 GMT 2023","5338","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"passed","Thu Mar 30 14:40:01 GMT 2023","Thu Mar 30 14:40:03 GMT 2023","2057","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
"passed","Thu Mar 30 14:40:13 GMT 2023","Thu Mar 30 14:40:13 GMT 2023","330","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"broken","Thu Mar 30 14:40:42 GMT 2023","Thu Mar 30 14:40:48 GMT 2023","5255","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"broken","Thu Mar 30 14:40:29 GMT 2023","Thu Mar 30 14:40:35 GMT 2023","5334","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Thu Mar 30 14:40:15 GMT 2023","Thu Mar 30 14:40:15 GMT 2023","268","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"broken","Thu Mar 30 14:40:16 GMT 2023","Thu Mar 30 14:40:21 GMT 2023","5314","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"passed","Thu Mar 30 14:40:04 GMT 2023","Thu Mar 30 14:40:07 GMT 2023","2356","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"broken","Thu Mar 30 14:41:09 GMT 2023","Thu Mar 30 14:41:14 GMT 2023","5313","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
