"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 14:11:50 GMT 2023","Thu Mar 30 14:11:56 GMT 2023","5446","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"broken","Thu Mar 30 14:12:42 GMT 2023","Thu Mar 30 14:12:44 GMT 2023","2315","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"passed","Thu Mar 30 14:11:42 GMT 2023","Thu Mar 30 14:11:42 GMT 2023","386","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"broken","Thu Mar 30 14:12:25 GMT 2023","Thu Mar 30 14:12:30 GMT 2023","5328","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"passed","Thu Mar 30 14:11:40 GMT 2023","Thu Mar 30 14:11:40 GMT 2023","445","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"broken","Thu Mar 30 14:12:31 GMT 2023","Thu Mar 30 14:12:37 GMT 2023","5295","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Thu Mar 30 14:11:38 GMT 2023","Thu Mar 30 14:11:38 GMT 2023","374","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"broken","Thu Mar 30 14:12:46 GMT 2023","Thu Mar 30 14:12:48 GMT 2023","2420","test_conduit_vizsgaremek","test_registration","TestConduit","","","test_registration",""
"broken","Thu Mar 30 14:12:18 GMT 2023","Thu Mar 30 14:12:23 GMT 2023","5340","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"passed","Thu Mar 30 14:11:34 GMT 2023","Thu Mar 30 14:11:36 GMT 2023","2414","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"passed","Thu Mar 30 14:11:30 GMT 2023","Thu Mar 30 14:11:33 GMT 2023","2577","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"broken","Thu Mar 30 14:12:38 GMT 2023","Thu Mar 30 14:12:40 GMT 2023","2302","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"broken","Thu Mar 30 14:11:57 GMT 2023","Thu Mar 30 14:12:03 GMT 2023","5431","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"broken","Thu Mar 30 14:11:43 GMT 2023","Thu Mar 30 14:11:49 GMT 2023","5436","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"broken","Thu Mar 30 14:12:04 GMT 2023","Thu Mar 30 14:12:10 GMT 2023","5481","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"broken","Thu Mar 30 14:12:11 GMT 2023","Thu Mar 30 14:12:16 GMT 2023","5339","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"passed","Thu Mar 30 14:11:27 GMT 2023","Thu Mar 30 14:11:29 GMT 2023","2149","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
