"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 04 14:07:24 GMT 2023","Tue Apr 04 14:07:29 GMT 2023","5388","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"broken","Tue Apr 04 14:06:28 GMT 2023","Tue Apr 04 14:06:28 GMT 2023","20","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration",""
"passed","Tue Apr 04 14:06:35 GMT 2023","Tue Apr 04 14:06:36 GMT 2023","453","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"broken","Tue Apr 04 14:07:05 GMT 2023","Tue Apr 04 14:07:16 GMT 2023","10492","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Tue Apr 04 14:06:33 GMT 2023","Tue Apr 04 14:06:34 GMT 2023","1056","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"broken","Tue Apr 04 14:06:53 GMT 2023","Tue Apr 04 14:07:04 GMT 2023","10467","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"broken","Tue Apr 04 14:06:27 GMT 2023","Tue Apr 04 14:06:27 GMT 2023","42","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_cookies",""
"broken","Tue Apr 04 14:07:58 GMT 2023","Tue Apr 04 14:08:08 GMT 2023","10542","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"broken","Tue Apr 04 14:07:31 GMT 2023","Tue Apr 04 14:07:36 GMT 2023","5381","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"broken","Tue Apr 04 14:07:51 GMT 2023","Tue Apr 04 14:07:56 GMT 2023","5378","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Tue Apr 04 14:06:30 GMT 2023","Tue Apr 04 14:06:31 GMT 2023","1095","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"broken","Tue Apr 04 14:07:38 GMT 2023","Tue Apr 04 14:07:48 GMT 2023","10508","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"passed","Tue Apr 04 14:06:39 GMT 2023","Tue Apr 04 14:06:40 GMT 2023","420","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"broken","Tue Apr 04 14:08:10 GMT 2023","Tue Apr 04 14:08:20 GMT 2023","10481","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"broken","Tue Apr 04 14:07:17 GMT 2023","Tue Apr 04 14:07:22 GMT 2023","5433","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_modify",""
"broken","Tue Apr 04 14:06:41 GMT 2023","Tue Apr 04 14:06:52 GMT 2023","10467","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"passed","Tue Apr 04 14:06:37 GMT 2023","Tue Apr 04 14:06:38 GMT 2023","503","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
