"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 13:51:03 GMT 2023","Thu Mar 30 13:51:08 GMT 2023","5332","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"broken","Thu Mar 30 13:51:10 GMT 2023","Thu Mar 30 13:51:15 GMT 2023","5351","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"passed","Thu Mar 30 13:50:58 GMT 2023","Thu Mar 30 13:51:00 GMT 2023","2326","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"broken","Thu Mar 30 13:51:27 GMT 2023","Thu Mar 30 13:51:29 GMT 2023","2252","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"broken","Thu Mar 30 13:51:23 GMT 2023","Thu Mar 30 13:51:25 GMT 2023","2261","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"broken","Thu Mar 30 13:51:20 GMT 2023","Thu Mar 30 13:51:22 GMT 2023","2248","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"passed","Thu Mar 30 13:50:55 GMT 2023","Thu Mar 30 13:50:57 GMT 2023","2286","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"passed","Thu Mar 30 13:50:44 GMT 2023","Thu Mar 30 13:50:46 GMT 2023","2110","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
"passed","Thu Mar 30 13:51:02 GMT 2023","Thu Mar 30 13:51:02 GMT 2023","270","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"broken","Thu Mar 30 13:51:34 GMT 2023","Thu Mar 30 13:51:36 GMT 2023","2242","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"passed","Thu Mar 30 13:50:47 GMT 2023","Thu Mar 30 13:50:50 GMT 2023","2414","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"passed","Thu Mar 30 13:50:51 GMT 2023","Thu Mar 30 13:50:53 GMT 2023","2316","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"passed","Thu Mar 30 13:51:44 GMT 2023","Thu Mar 30 13:51:49 GMT 2023","4432","test_conduit_vizsgaremek","test_registration","TestConduit","","","test_registration",""
"broken","Thu Mar 30 13:51:16 GMT 2023","Thu Mar 30 13:51:18 GMT 2023","2269","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"broken","Thu Mar 30 13:51:41 GMT 2023","Thu Mar 30 13:51:43 GMT 2023","2246","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"broken","Thu Mar 30 13:51:37 GMT 2023","Thu Mar 30 13:51:39 GMT 2023","2255","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
"broken","Thu Mar 30 13:51:30 GMT 2023","Thu Mar 30 13:51:32 GMT 2023","2261","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
