"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 15:12:34 GMT 2023","Thu Mar 30 15:12:39 GMT 2023","5359","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create1",""
"passed","Thu Mar 30 15:12:16 GMT 2023","Thu Mar 30 15:12:16 GMT 2023","286","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login1",""
"broken","Thu Mar 30 15:12:20 GMT 2023","Thu Mar 30 15:12:26 GMT 2023","5336","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_page_number",""
"broken","Thu Mar 30 15:12:53 GMT 2023","Thu Mar 30 15:12:59 GMT 2023","5267","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_create",""
"passed","Thu Mar 30 15:13:26 GMT 2023","Thu Mar 30 15:13:29 GMT 2023","2439","test_conduit_vizsgaremek","test_registration","TestConduit","","","test_registration",""
"passed","Thu Mar 30 15:12:17 GMT 2023","Thu Mar 30 15:12:18 GMT 2023","370","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login2",""
"passed","Thu Mar 30 15:12:12 GMT 2023","Thu Mar 30 15:12:14 GMT 2023","2316","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration2",""
"passed","Thu Mar 30 15:12:05 GMT 2023","Thu Mar 30 15:12:07 GMT 2023","2074","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_accept_cookies",""
"broken","Thu Mar 30 15:12:27 GMT 2023","Thu Mar 30 15:12:32 GMT 2023","5360","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_tags",""
"passed","Thu Mar 30 15:12:19 GMT 2023","Thu Mar 30 15:12:19 GMT 2023","275","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_login3",""
"passed","Thu Mar 30 15:12:08 GMT 2023","Thu Mar 30 15:12:11 GMT 2023","2380","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_registration1",""
"broken","Thu Mar 30 15:12:40 GMT 2023","Thu Mar 30 15:12:46 GMT 2023","5353","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_create2",""
"broken","Thu Mar 30 15:13:20 GMT 2023","Thu Mar 30 15:13:25 GMT 2023","5356","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_log_out",""
"broken","Thu Mar 30 15:12:47 GMT 2023","Thu Mar 30 15:12:52 GMT 2023","5249","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_article_delete",""
"broken","Thu Mar 30 15:13:00 GMT 2023","Thu Mar 30 15:13:05 GMT 2023","5250","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_comment_delete",""
"broken","Thu Mar 30 15:13:06 GMT 2023","Thu Mar 30 15:13:12 GMT 2023","5242","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_import_data_from_file",""
"broken","Thu Mar 30 15:13:13 GMT 2023","Thu Mar 30 15:13:18 GMT 2023","5340","test_conduit_vizsgaremek","test_conduit_vizsgaremek","TestConduit","","","test_save_data_to_file",""
